date and time,kwh/kwp,system size kWp,area m^2,STC Eff
01/31/2019 0:00,5.144032922,4.86,35.37,13.7
02/28/2019 0:00,21.87194355,4.86,35.37,13.7
03/31/2019 0:00,44.71728472,4.86,35.37,13.7
04/30/2019 0:00,65.0849112,4.86,35.37,13.7
05/31/2019 0:00,74.26079973,4.86,35.37,13.7
06/30/2019 0:00,81.57987584,4.86,35.37,13.7
07/31/2019 0:00,54.51383224,4.86,35.37,13.7
08/31/2019 0:00,87.68967726,4.86,35.37,13.7
09/30/2019 0:00,57.78687368,4.86,35.37,13.7
10/31/2019 0:00,22.2375575,4.86,35.37,13.7
11/30/2019 0:00,19.39396879,4.86,35.37,13.7
12/31/2019 0:00,2.167182488,4.86,35.37,13.7
